LOCATION,Country,TIME,Time,Value,Date,DATE
NZL,New Zealand,2017-Q1,Q1-2017,76.67326,01/01/2017,
NZL,New Zealand,2017-Q2,Q2-2017,76.32724,01/04/2017,
NZL,New Zealand,2017-Q3,Q3-2017,77.1189,01/07/2017,
NZL,New Zealand,2017-Q4,Q4-2017,77.54889,01/10/2017,
NZL,New Zealand,2018-Q1,Q1-2018,77.43276,01/01/2018,
NZL,New Zealand,2018-Q2,Q2-2018,77.63275,01/04/2018,
NZL,New Zealand,2018-Q3,Q3-2018,77.88473,01/07/2018,
NZL,New Zealand,2018-Q4,Q4-2018,77.02812,01/10/2018,
NZL,New Zealand,2019-Q1,Q1-2019,77.38028,01/01/2019,
NZL,New Zealand,2019-Q2,Q2-2019,77.60349,01/04/2019,
NZL,New Zealand,2019-Q3,Q3-2019,77.50352,01/07/2019,
NZL,New Zealand,2019-Q4,Q4-2019,77.35455,01/10/2019,
NZL,New Zealand,2020-Q1,Q1-2020,77.68947,01/01/2020,
NZL,New Zealand,2020-Q2,Q2-2020,76.82517,01/04/2020,
NZL,New Zealand,2020-Q3,Q3-2020,76.06368,01/07/2020,
NZL,New Zealand,2020-Q4,Q4-2020,76.52326,01/10/2020,
NZL,New Zealand,2021-Q1,Q1-2021,77.17107,01/01/2021,
NZL,New Zealand,2021-Q2,Q2-2021,77.86275,01/04/2021,
NZL,New Zealand,2021-Q3,Q3-2021,79.07188,01/10/2021,
GBR,United Kingdom,2017-Q1,Q1-2017,74.76865,01/01/2017,
GBR,United Kingdom,2017-Q2,Q2-2017,75.10435,01/04/2017,
GBR,United Kingdom,2017-Q3,Q3-2017,75.0069,01/07/2017,
GBR,United Kingdom,2017-Q4,Q4-2017,75.17536,01/10/2017,
GBR,United Kingdom,2018-Q1,Q1-2018,75.56107,01/01/2018,
GBR,United Kingdom,2018-Q2,Q2-2018,75.5488,01/04/2018,
GBR,United Kingdom,2018-Q3,Q3-2018,75.55268,01/07/2018,
GBR,United Kingdom,2018-Q4,Q4-2018,75.83308,01/10/2018,
GBR,United Kingdom,2019-Q1,Q1-2019,76.05695,01/01/2019,
GBR,United Kingdom,2019-Q2,Q2-2019,76.10236,01/04/2019,
GBR,United Kingdom,2019-Q3,Q3-2019,76.04665,01/07/2019,
GBR,United Kingdom,2019-Q4,Q4-2019,76.4713,01/10/2019,
GBR,United Kingdom,2020-Q1,Q1-2020,76.313,01/01/2020,
GBR,United Kingdom,2020-Q2,Q2-2020,75.7484,01/04/2020,
GBR,United Kingdom,2020-Q3,Q3-2020,75.03289,01/07/2020,
GBR,United Kingdom,2020-Q4,Q4-2020,74.6539,01/10/2020,
GBR,United Kingdom,2021-Q1,Q1-2021,74.72482,01/01/2021,
GBR,United Kingdom,2021-Q2,Q2-2021,75.07231,01/10/2021,
USA,United States,2017-Q1,Q1-2017,69.79125,01/01/2017,
USA,United States,2017-Q2,Q2-2017,70.07066,01/04/2017,
USA,United States,2017-Q3,Q3-2017,70.27412,01/07/2017,
USA,United States,2017-Q4,Q4-2017,70.28349,01/10/2017,
USA,United States,2018-Q1,Q1-2018,70.4846,01/01/2018,
USA,United States,2018-Q2,Q2-2018,70.6565,01/04/2018,
USA,United States,2018-Q3,Q3-2018,70.74073,01/07/2018,
USA,United States,2018-Q4,Q4-2018,70.96515,01/10/2018,
USA,United States,2019-Q1,Q1-2019,71.05139,01/01/2019,
USA,United States,2019-Q2,Q2-2019,71.19324,01/04/2019,
USA,United States,2019-Q3,Q3-2019,71.4641,01/07/2019,
USA,United States,2019-Q4,Q4-2019,71.66215,01/10/2019,
USA,United States,2020-Q1,Q1-2020,71.34309,01/01/2020,
USA,United States,2020-Q2,Q2-2020,62.44691,01/04/2020,
USA,United States,2020-Q3,Q3-2020,66.40702,01/07/2020,
USA,United States,2020-Q4,Q4-2020,67.88194,01/10/2020,
USA,United States,2021-Q1,Q1-2021,68.42841,01/01/2021,
USA,United States,2021-Q2,Q2-2021,68.93141,01/04/2021,
USA,United States,2021-Q3,Q3-2021,69.71981,01/10/2021,
